1667678574459130,9176,1834346,293739,
1667678617434824,8080,1738188,241240,
1667678620074000,10055,1755796,247216,
1667678622581196,8394,1798685,227763,
1667678625134940,6208,1758863,226810,
1667678627652484,6198,1758800,244840,
1667678630010769,10427,1739024,222022,
1667678632441732,8083,1741230,244923,
1667678634889444,6453,1733648,251560,
1667678637419449,6498,1744485,212432,
1667678639814223,10296,1793182,226963,
1667678642276615,7929,1762214,245639,
1667678644808270,7473,1751366,249376,
1667678647233132,6532,1745400,252750,
1667678649788989,10097,1813210,294785,
1667678652352887,6160,1673049,256372,
1667678654805520,5767,1749267,245243,
1667678657221621,4957,1705594,256354,
1667678659651357,7300,1703072,242677,
1667678662014684,4830,1658454,252007,
1667678664360158,6121,1666422,246261,
1667678666708694,5693,1713423,249703,
1667678696774024,7750,1671605,250200,
1667678699209723,4798,1634317,239379,
1667678701701575,5872,1726441,248341,
1667678704102394,4903,1720173,249519,
1667678706470159,7881,1670896,238861,
1667678708798994,4824,1663368,247336,
1667678711188035,6904,1642963,243685,
1667678735391414,5535,1627887,239656,
