1667776260057080,9594,1104216,175244,
1667776488807923,6194,935413,117022,
1667776490980490,7105,927340,112149,
1667776493001415,5572,937572,110853,
1667776494845564,6219,903623,116508,
1667776496569589,5260,894719,122152,
1667776498318145,6388,918281,110370,
1667776500478582,5332,955716,118622,
1667776502433907,5342,902668,116222,
1667776504128516,6096,934262,113004,
1667776505973591,5906,909750,118334,
1667776507748636,6882,955325,118627,
1667776509773529,4919,970035,115941,
1667776511594216,6193,913791,119752,
1667776513329280,6790,898522,116734,
