1671490062470308,23524,1528761,320993,
1671490064884523,17740,1405209,118085,
1671490067047164,19240,1332739,153286,
1671490069329808,17970,1324817,60696,
1671490071303988,18547,1380024,52501,
1671490073315400,17745,1287038,166865,
1671490075239462,18233,1230120,144119,
1671490077043361,17123,1283500,82479,
1671490078933404,18000,1427938,106777,
1671490080913323,17594,1324698,161092,
1671490082855735,17467,1392848,86999,
1671490084755485,17368,1326530,116998,
1671490086798464,17815,1311319,157509,
1671490088807543,17482,1345633,162141,
1671490090861170,19875,1344656,173633,
1671490093020483,17140,1313806,118239,
