1670260393952139,15864,2610262,160710,
1670260397566353,21744,2972889,137025,
1670260401816493,17637,3160098,130465,
1670260405873006,18441,2681528,185751,
1670260409374059,18379,2644313,172212,
1670260412684610,15653,2447909,146566,
1670260415821949,15962,2688301,153383,
1670260419253951,18979,2592265,193051,
1670260422440908,17286,2585420,168826,
1670260425771510,15730,2516791,150730,
1670260429042479,15774,2586507,132783,
1670260432325700,19558,2691467,161818,
1670260435693060,21639,2452870,178635,
