1667872050309472,11338,1234570,155912,
1667872052262935,14800,1169078,94758,
1667872054359652,11293,1158589,89881,
1667872056904295,11258,1151329,91377,
1667872059323362,12977,1152308,104071,
1667872061901990,10540,1131895,92800,
1667872064598928,11089,1149747,111913,
1667872066540487,12246,1162171,96349,
1667872068702334,12644,1153464,95774,
1667872070797931,10683,1114182,94547,
1667872076737305,13352,1155105,100907,
1667872078757196,10912,1133855,94680,
1667872083339430,11550,1161182,101931,
1667872094885659,13238,1121405,100303,
1667872104144718,10767,1147929,90633,
1667872106533205,6787,1010352,77605,
1667872155564783,8929,1014057,80316,
1667872189342043,6875,1018431,76775,
1667872191075546,6695,1025646,79523,
